"~id","~start_node_id","~end_node_id","~relationship_type"
"440","2","211","PRESENTED"
"441","2","275","PRESENTED"
"442","2","453","PRESENTED"
"443","27","347","PRESENTED"
"444","2","235","PRESENTED"
"445","2","494","PRESENTED"
"446","2","44","PRESENTED"
"447","2","403","PRESENTED"
"448","2","487","PRESENTED"
"449","2","43","PRESENTED"
"450","2","417","PRESENTED"
"451","12","140","PRESENTED"
"452","12","46","PRESENTED"
"453","12","421","PRESENTED"
"454","12","141","PRESENTED"
"455","12","78","PRESENTED"
"456","12","142","PRESENTED"
"457","18","427","PRESENTED"
"458","1","443","PRESENTED"
"459","0","217","PRESENTED"
"460","35","496","PRESENTED"
"461","34","497","PRESENTED"
"462","34","498","PRESENTED"
"463","34","499","PRESENTED"
"464","7","500","PRESENTED"
"465","2","501","PRESENTED"
"466","34","502","PRESENTED"
"467","2","503","PRESENTED"
"468","2","504","PRESENTED"
"469","34","505","PRESENTED"
"470","35","506","PRESENTED"
"471","1146","161","EXHIBITED_IN"
"472","983","355","EXHIBITED_IN"
"473","860","48","EXHIBITED_IN"
"474","1148","139","EXHIBITED_IN"
"475","636","136","EXHIBITED_IN"
"476","945","40","EXHIBITED_IN"
"477","629","89","EXHIBITED_IN"
"478","733","380","EXHIBITED_IN"
"479","554","214","EXHIBITED_IN"
"480","1208","214","EXHIBITED_IN"
"481","896","214","EXHIBITED_IN"
"482","1133","214","EXHIBITED_IN"
"483","825","214","EXHIBITED_IN"
"484","1059","214","EXHIBITED_IN"
"485","756","214","EXHIBITED_IN"
"486","861","214","EXHIBITED_IN"
"487","1164","214","EXHIBITED_IN"
"488","651","315","EXHIBITED_IN"
"489","1127","384","EXHIBITED_IN"
"490","1081","130","EXHIBITED_IN"
"491","1311","318","EXHIBITED_IN"
"492","655","493","EXHIBITED_IN"
"493","691","493","EXHIBITED_IN"
"494","800","493","EXHIBITED_IN"
"495","969","493","EXHIBITED_IN"
"496","1095","493","EXHIBITED_IN"
"497","1105","493","EXHIBITED_IN"
"498","1116","493","EXHIBITED_IN"
"499","1255","493","EXHIBITED_IN"
"500","1277","493","EXHIBITED_IN"
"501","1332","493","EXHIBITED_IN"
"502","673","127","EXHIBITED_IN"
"503","1245","55","EXHIBITED_IN"
"504","1077","285","EXHIBITED_IN"
"505","1219","464","EXHIBITED_IN"
