"~id","~labels","name","founded_in","type","year","gender","origin"
"248","Exhibition","La magdalena y otros estudios de campo",,"individual",2014,,
"249","Exhibition","La incertidumbre del tiempo",,"colectiva",2017,,
"250","Exhibition","Landschaft / Hudson",,"individual",2015,,
"251","Exhibition","La pasión por lo humano",,"individual",2017,,
"252","Exhibition","La vida es un sueño",,"individual",2018,,
"253","Exhibition","La Sustancia Salvaje",,"colectiva",2020,,
"255","Exhibition","La naturaleza y su estado de contingencia",,"individual",2017,,
"256","Exhibition","Las Azucenas en los cadáveres",,"individual",2017,,
"257","Exhibition","La razón del malentendido",,"individual",2016,,
"258","Exhibition","La sala del tiempo, Nivada",,"colectiva",2008,,
"259","Exhibition","La ceiba gráfica, estampas de una década",,"colectiva",2017,,
"260","Exhibition","Las guardinas",,"individual",2014,,
"261","Exhibition","Laboratorio de brujas",,"colectiva",2017,,
"262","Exhibition","La materia del paisaje2019",,"individual",2019,,
"263","Exhibition","Las Luchas perdidas 2017",,"individual",2017,,
"264","Exhibition","Katharsis",,"individual",2016,,
"265","Exhibition","Jugando",,"individual",2015,,
"266","Exhibition","Jardines Exquisitos",,"colectiva",2017,,
"267","Exhibition","Iteración",,"individual",2019,,
"268","Exhibition","INERTE",,"individual",2014,,
"269","Exhibition","Insumos robados",,"individual",2015,,
"270","Exhibition","Indicios",,"individual",2013,,
"271","Exhibition","Inenarrable",,"colectiva",2016,,
"272","Exhibition","Infinitamente ausentes",,"individual",2020,,
"273","Exhibition","Interacciones lineales",,"individual",2017,,
"274","Exhibition","Inmersiones del ser",,"individual",2017,,
"275","Exhibition","Interpresencias de identidad arquetípica",,"individual",2013,,
"276","Exhibition","Intuiciones paralelas",,"colectiva",2019,,
"277","Exhibition","In Memoriam",,"individual",2015,,
"278","Exhibition","Invisible sintagma: Alegorías sobre la masculinidad",,"individual",2020,,
"279","Exhibition","Impermancia Percepción en movimiento",,"colectiva",2018,,
"280","Exhibition","Impronta. Algunos relatos sobre el cuerpo",,"colectiva",2017,,
"281","Exhibition","Imaginofagia de la destrucción",,"individual",2014,,
"282","Exhibition","Imagen que es memoria",,"individual",2016,,
"283","Exhibition","Ilustraciones Ballet",,"individual",2014,,
"284","Exhibition","Ilustraciones",,"individual",2018,,
"285","Exhibition","Igniciones",,"individual",2015,,
"286","Exhibition","Idealismo",,"individual",2014,,
"287","Exhibition","Iconografía transparente",,"individual",2018,,
"288","Exhibition","Iconografía Imaginaria",,"individual",2018,,
"289","Exhibition","Iconofagia",,"individual",2014,,
"290","Exhibition","Huiltcatzin en la Municipal",,"individual",2016,,
"291","Exhibition","Horizontes y paisajes lejanos",,"individual",2008,,
"292","Exhibition","Hola y adiós",,"individual",2015,,
"293","Exhibition","Homenaje a José Guadalupe Posada",,"colectiva",2013,,
"294","Exhibition","Historias del cuerpo consciente",,"individual",2005,,
"295","Exhibition","Habitable Inconsciente",,"individual",2015,,
"296","Exhibition","Hasta pa morirse hay tiempo",,"individual",2016,,
"297","Exhibition","Gravedad y Ligereza",,"colectiva",2019,,
"298","Exhibition","Gran Formato",,"individual",2017,,
"299","Exhibition","Grrrr",,"individual",2018,,
"300","Exhibition","Gráfica Sonidera",,"colectiva",2019,,
"301","Exhibition","Gráfica de una generación manipulada",,"individual",2014,,
"302","Exhibition","Gráfica expandida",,"colectiva",2017,,
"303","Exhibition","Girly art Showcase",,"colectiva",2018,,
"304","Exhibition","Girl Power 2017",,"colectiva",2017,,
"305","Exhibition","Girl Power 2016",,"colectiva",2016,,
"306","Exhibition","Girl Power 2015",,"colectiva",2015,,
"307","Exhibition","Gehena",,"individual",2014,,
"308","Exhibition","Geopoética",,"individual",2019,,
"309","Exhibition","Geometrías Adversas",,"individual",2020,,
"310","Exhibition","Futuro próximo, pasado remoto",,"individual",2018,,
"311","Exhibition","Frida Snow White",,"individual",2015,,
"312","Exhibition","Fragmentos estéticos",,"individual",2017,,
"313","Exhibition","Fragmentos",,"colectiva",2017,,
"314","Exhibition","Fricción, tianguis de diseño",,"colectiva",2017,,
"315","Exhibition","Fragmentos de tiempo y materia",,"individual",2020,,
"316","Exhibition","Fósiles del futuro",,"colectiva",2017,,
"317","Exhibition","Fortuna",,"colectiva",2016,,
"318","Exhibition","Foco Tonal",,"individual",2020,,
"320","Exhibition","Fiera Estampa",,"colectiva",2014,,
"321","Exhibition","Figurativa Contemporánea",,"colectiva",2009,,
"322","Exhibition","Figuras urbanas",,"individual",2019,,
"323","Exhibition","Figuraciones contemporáneas",,"colectiva",2017,,
"324","Exhibition","Falsos límites",,"individual",2019,,
"325","Exhibition","Fauna gráfica",,"colectiva",2016,,
"326","Exhibition","Favor de reinterpretar",,"colectiva",2017,,
"327","Exhibition","Exhibición Pop-Up",,"colectiva",2019,,
"328","Exhibition","Exposición para venta",,"individual",2018,,
"329","Exhibition","Exhibición 2016 para venta impulso",,"colectiva",2016,,
"330","Exhibition","Exhibición 2017 para venta impulso",,"colectiva",2017,,
"331","Exhibition","Exhibición 2018 para venta impulso",,"colectiva",2018,,
"332","Exhibition","Exhibición 2020 para venta impulso",,"colectiva",2020,,
"333","Exhibition","Exhibición 2019 para venta impulso",,"colectiva",2019,,
"334","Exhibition","Expo para venta 2018 diegorose",,"colectiva",2018,,
"335","Exhibition","Exhibición 2019 para venta diegorose",,"colectiva",2019,,
"336","Exhibition","Exploration Picturale dos",,"individual",2015,,
"338","Exhibition","Expo colectiva número dos",,"colectiva",2019,,
"339","Exhibition","Exposición colectiva de dibujo",,"colectiva",2015,,
"340","Exhibition","ExLibris",,"colectiva",2018,,
